# CPUs, Elapsed time (s), Elapsed time (hh:mm:ss), User-mode time (s), Kernel-mode time (s), CPU used (%), File system inputs, File system outputs, # Swaps, # Major page faults, # Minor page faults, Avg. shared text (KB), Avg. unshared stack size (KB), Avg. unshared data (KB), Avg. total memory usage (KB), # Involuntary context switches, # Voluntary context switches, Exit status, Executed command
24, 94.04, 1:34.04, 1957.64, 7.15, 2089%, 0, 223264, 0, 0, 122413, 0, 0, 0, 0, 2204, 296, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p24 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.24"
24, 94.33, 1:34.33, 1962.59, 7.15, 2087%, 0, 223264, 0, 0, 122413, 0, 0, 0, 0, 2797, 325, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p24 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.24"
25, 93.84, 1:33.84, 2027.86, 7.15, 2168%, 0, 222976, 0, 0, 123203, 0, 0, 0, 0, 3852, 345, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p25 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.25"
25, 91.25, 1:31.25, 2010.00, 7.27, 2210%, 0, 222976, 0, 0, 123203, 0, 0, 0, 0, 4101, 385, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p25 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.25"
25, 91.75, 1:31.75, 2008.46, 7.24, 2196%, 0, 222976, 0, 0, 123203, 0, 0, 0, 0, 4279, 355, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p25 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.25"
26, 87.97, 1:27.97, 2053.04, 7.33, 2342%, 0, 223024, 0, 0, 124011, 0, 0, 0, 0, 4128, 340, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p26 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.26"
26, 89.29, 1:29.29, 2054.42, 7.34, 2309%, 0, 223024, 0, 0, 124011, 0, 0, 0, 0, 4580, 348, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p26 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.26"
26, 89.08, 1:29.08, 2068.78, 7.24, 2330%, 0, 223024, 0, 0, 124011, 0, 0, 0, 0, 5198, 334, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p26 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.26"
27, 93.92, 1:33.92, 2130.11, 7.44, 2275%, 0, 222976, 0, 0, 124929, 0, 0, 0, 0, 6114, 339, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p27 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.27"
27, 93.67, 1:33.67, 2121.97, 7.42, 2273%, 0, 222976, 0, 0, 124929, 0, 0, 0, 0, 6119, 356, 0, bash -c pbzip2 --compress -9 -b9 --read --stdout --quiet --keep -p27 "linux-52b9c816807abd46c285cd8ab183fe93194bfb3f.tar" > "linux.tar.bz2.27"
